OrderKey,LineNumber,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost
139000,0,153,2,375.976,375.976,172.896
139000,1,1621,8,7.794,7.794,3.972
139001,0,279,3,239.2,227.24,121.952
139001,1,1806,1,22.4,22.4,11.417
139002,0,125,2,114.72,103.248,58.488
139002,1,157,1,879.992,879.992,404.68
139002,2,55,5,222,222,73.5525
139002,3,43,6,174,174,80.0175
139002,5,2361,1,82.4925,74.24325,42.06
139002,6,2043,2,499.455,439.5204,165.48
139003,0,1618,1,35.394,35.394,16.278
139003,1,1433,6,554.4,487.872,254.952
139003,2,440,2,549.875,494.8875,280.35
139003,3,1624,2,131.4,116.946,43.536
139003,4,960,8,236.8,206.016,108.896
139003,5,1630,2,13.734,13.734,4.548
139004,0,1499,1,558,513.36,256.608
139005,0,1147,1,1048,1048,481.936
139005,1,1775,2,30.1,26.488,15.344
139005,2,2118,3,333.75,290.3625,153.48
139005,3,1631,3,7.596,7.596,3.492
139005,4,1598,1,34.728,34.728,15.972
139005,5,223,1,463.2,407.616,213.008
139006,0,1184,2,1424,1424,654.848
139006,1,1588,6,8.334,7.41726,3.834
139006,2,2498,5,42.696,42.696,21.762
139007,0,2048,3,71.2425,66.255525,36.3225
139008,0,1475,1,414,360.18,190.386
139008,1,1808,6,22.4,22.4,11.417
139009,0,2120,1,111.75,111.75,56.97
140000,0,1581,1,131.4,131.4,43.536
140000,1,2364,3,322.4925,293.468175,148.305
140000,2,1621,2,7.794,6.70284,3.972
140000,3,1037,3,301.6,283.504,138.688
140000,4,104,1,86.25,81.075,39.66
140001,0,1613,8,65.994,58.73466,33.648
140002,0,852,2,577.25,577.25,191.25
140003,0,1510,7,232.2,206.658,118.386
140003,1,1597,10,34.728,34.38072,15.972
140004,0,103,2,86.25,86.25,39.66
140005,0,7,3,16.1775,14.8833,8.25
140005,1,1230,5,2448,2448,811.072
140005,2,1010,3,299.04,260.1648,137.52
140005,3,418,2,674.875,600.63875,344.075
140005,4,1326,2,77.382,67.32234,25.632
140005,5,1283,4,39.984,34.38624,20.384
140006,0,424,1,674.875,674.875,344.075
140006,1,1605,3,173.994,172.25406,57.648
140007,0,1590,1,13.734,13.734,4.548
140008,0,1512,6,430.2,425.898,197.838
140009,0,1612,4,107.994,96.11466,49.662
140009,1,1611,2,95.994,95.994,44.142
140010,0,1805,1,22.4,20.608,11.417
141000,0,457,6,549.875,478.39125,280.35
141000,1,1590,1,13.734,13.734,4.548
141000,2,1773,1,30.1,26.187,15.344
141000,3,1585,2,13.734,12.22326,4.548
141000,4,180,4,55.2,48.024,28.144
141001,0,1199,6,656,564.16,334.448
141002,0,1691,2,3.773,3.43343,1.925
141002,1,2102,8,593.25,575.4525,272.8125
141003,0,171,1,79.2,72.072,36.424
141003,1,2092,2,593.25,593.25,272.8125
141003,2,2101,2,658.125,598.89375,302.6475
141004,0,1589,2,5.994,5.6943,3.054
141004,1,1633,4,8.334,7.66728,3.834
141004,2,2106,2,658.125,658.125,302.6475
141004,3,954,6,299.04,299.04,137.52
