OrderKey,CustomerKey,StoreKey,OrderDate,DeliveryDate,CurrencyCode
139000,1293529,430,2016-05-18,2016-05-18,USD
139001,915563,410,2016-05-18,2016-05-18,GBP
139002,1133937,410,2016-05-18,2016-05-18,GBP
139003,1709426,670,2016-05-18,2016-05-18,USD
139004,1307908,610,2016-05-18,2016-05-18,USD
139005,953288,999999,2016-05-18,2016-05-22,GBP
139006,1854427,530,2016-05-18,2016-05-18,USD
139007,1523720,585,2016-05-18,2016-05-18,USD
139008,1062514,420,2016-05-18,2016-05-18,GBP
139009,1626031,440,2016-05-18,2016-05-18,USD
140000,1145987,420,2016-05-19,2016-05-19,GBP
140001,1797935,530,2016-05-19,2016-05-19,USD
140002,420797,220,2016-05-19,2016-05-19,EUR
140003,303329,72,2016-05-19,2016-05-19,CAD
140004,986540,360,2016-05-19,2016-05-19,GBP
140005,709781,999999,2016-05-19,2016-05-24,EUR
140006,908746,420,2016-05-19,2016-05-19,GBP
140007,1003750,360,2016-05-19,2016-05-19,GBP
140008,1232222,470,2016-05-19,2016-05-19,USD
140009,847319,330,2016-05-19,2016-05-19,EUR
140010,1512794,999999,2016-05-19,2016-05-26,USD
141000,307209,80,2016-05-20,2016-05-20,CAD
141001,1198070,380,2016-05-20,2016-05-20,GBP
141002,808565,320,2016-05-20,2016-05-20,EUR
141003,73407,999999,2016-05-20,2016-06-02,AUD
141004,1816896,999999,2016-05-20,2016-06-02,USD
141005,1653360,605,2016-05-20,2016-05-20,USD
141006,35688,50,2016-05-20,2016-05-20,AUD
141007,1953344,560,2016-05-20,2016-05-20,USD
142000,1567626,630,2016-05-21,2016-05-21,USD
142001,1779821,660,2016-05-21,2016-05-21,USD
142002,146515,999999,2016-05-21,2016-05-30,AUD
142003,259076,999999,2016-05-21,2016-05-27,CAD
142004,1230622,550,2016-05-21,2016-05-21,USD
142005,872310,330,2016-05-21,2016-05-21,EUR
142006,1903300,540,2016-05-21,2016-05-21,USD
142007,1179168,360,2016-05-21,2016-05-21,GBP
142008,1660418,550,2016-05-21,2016-05-21,USD
142009,1062996,410,2016-05-21,2016-05-21,GBP
142010,718330,300,2016-05-21,2016-05-21,EUR
142011,887596,330,2016-05-21,2016-05-21,EUR
142012,723102,290,2016-05-21,2016-05-21,EUR
142013,600813,140,2016-05-21,2016-05-21,EUR
144000,455239,220,2016-05-23,2016-05-23,EUR
144001,1518866,660,2016-05-23,2016-05-23,USD
144002,1589353,480,2016-05-23,2016-05-23,USD
144003,1536166,480,2016-05-23,2016-05-23,USD
144004,449530,270,2016-05-23,2016-05-23,EUR
144005,632624,120,2016-05-23,2016-05-23,EUR
145000,1326013,999999,2016-05-24,2016-06-09,USD
145001,1380442,660,2016-05-24,2016-05-24,USD
145002,287165,999999,2016-05-24,2016-06-05,CAD
145003,777665,280,2016-05-24,2016-05-24,EUR
145004,408088,240,2016-05-24,2016-05-24,EUR
145005,1625343,999999,2016-05-24,2016-05-30,USD
145006,1500602,440,2016-05-24,2016-05-24,USD
145007,364187,100,2016-05-24,2016-05-24,CAD
146000,1798305,450,2016-05-25,2016-05-25,USD
146001,571063,220,2016-05-25,2016-05-25,EUR
146002,556212,240,2016-05-25,2016-05-25,EUR
146003,1871172,999999,2016-05-25,2016-06-07,USD
146004,584687,255,2016-05-25,2016-05-25,EUR
146005,647788,180,2016-05-25,2016-05-25,EUR
146006,1470773,480,2016-05-25,2016-05-25,USD
146007,1962237,480,2016-05-25,2016-05-25,USD
146008,260153,999999,2016-05-25,2016-06-06,CAD
146009,700982,280,2016-05-25,2016-05-25,EUR
147001,1665049,550,2016-05-26,2016-05-26,USD
147002,1876222,630,2016-05-26,2016-05-26,USD
147004,1462046,440,2016-05-26,2016-05-26,USD
147005,1140125,360,2016-05-26,2016-05-26,GBP
147006,1719626,550,2016-05-26,2016-05-26,USD
147007,1318792,440,2016-05-26,2016-05-26,USD
147008,1227178,510,2016-05-26,2016-05-26,USD
147009,579982,999999,2016-05-26,2016-06-07,EUR
147010,1230892,550,2016-05-26,2016-05-26,USD
148000,166973,60,2016-05-27,2016-05-27,AUD
148001,1824624,660,2016-05-27,2016-05-27,USD
148002,567908,200,2016-05-27,2016-05-27,EUR
148003,1540950,470,2016-05-27,2016-05-27,USD
148004,1947307,585,2016-05-27,2016-05-27,USD
148005,329861,72,2016-05-27,2016-05-27,CAD
148006,91603,35,2016-05-27,2016-05-27,AUD
148007,524846,240,2016-05-27,2016-05-27,EUR
149000,1756413,605,2016-05-28,2016-05-28,USD
149001,1833255,999999,2016-05-28,2016-06-03,USD
149002,2066169,550,2016-05-28,2016-05-28,USD
149003,1097116,400,2016-05-28,2016-05-28,GBP
149004,1821381,610,2016-05-28,2016-05-28,USD
149005,1820013,560,2016-05-28,2016-05-28,USD
149006,224202,100,2016-05-28,2016-05-28,CAD
149007,1279807,585,2016-05-28,2016-05-28,USD
149008,547103,200,2016-05-28,2016-05-28,EUR
149009,820674,340,2016-05-28,2016-05-28,EUR
149010,1295481,540,2016-05-28,2016-05-28,USD
149011,1126671,360,2016-05-28,2016-05-28,GBP
149012,1133567,370,2016-05-28,2016-05-28,GBP
149013,144563,999999,2016-05-28,2016-06-07,AUD
151000,274440,80,2016-05-30,2016-05-30,CAD
151001,376506,80,2016-05-30,2016-05-30,CAD
151002,1439423,650,2016-05-30,2016-05-30,USD
151003,1101729,360,2016-05-30,2016-05-30,GBP
151004,932198,360,2016-05-30,2016-05-30,GBP
152000,1709162,540,2016-05-31,2016-05-31,USD
152001,554601,999999,2016-05-31,2016-06-12,EUR
152002,1267421,630,2016-05-31,2016-05-31,USD
152003,1629889,999999,2016-05-31,2016-06-08,USD
152004,487833,220,2016-05-31,2016-05-31,EUR
152005,1835658,650,2016-05-31,2016-05-31,USD
152006,1404811,510,2016-05-31,2016-05-31,USD
152007,648962,150,2016-05-31,2016-05-31,EUR
