OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
139000,0,2016-05-18,2016-05-18,1293529,430,153,2,375.976,375.976,172.896,USD,1.00000
139000,1,2016-05-18,2016-05-18,1293529,430,1621,8,7.794,7.794,3.972,USD,1.00000
139001,0,2016-05-18,2016-05-18,915563,410,279,3,239.2,227.24,121.952,GBP,0.68698
139001,1,2016-05-18,2016-05-18,915563,410,1806,1,22.4,22.4,11.417,GBP,0.68698
139002,0,2016-05-18,2016-05-18,1133937,410,125,2,114.72,103.248,58.488,GBP,0.68698
139002,1,2016-05-18,2016-05-18,1133937,410,157,1,879.992,879.992,404.68,GBP,0.68698
139002,2,2016-05-18,2016-05-18,1133937,410,55,5,222,222,73.5525,GBP,0.68698
139002,3,2016-05-18,2016-05-18,1133937,410,43,6,174,174,80.0175,GBP,0.68698
139002,5,2016-05-18,2016-05-18,1133937,410,2361,1,82.4925,74.24325,42.06,GBP,0.68698
139002,6,2016-05-18,2016-05-18,1133937,410,2043,2,499.455,439.5204,165.48,GBP,0.68698
139003,0,2016-05-18,2016-05-18,1709426,670,1618,1,35.394,35.394,16.278,USD,1.00000
139003,1,2016-05-18,2016-05-18,1709426,670,1433,6,554.4,487.872,254.952,USD,1.00000
139003,2,2016-05-18,2016-05-18,1709426,670,440,2,549.875,494.8875,280.35,USD,1.00000
139003,3,2016-05-18,2016-05-18,1709426,670,1624,2,131.4,116.946,43.536,USD,1.00000
139003,4,2016-05-18,2016-05-18,1709426,670,960,8,236.8,206.016,108.896,USD,1.00000
139003,5,2016-05-18,2016-05-18,1709426,670,1630,2,13.734,13.734,4.548,USD,1.00000
139004,0,2016-05-18,2016-05-18,1307908,610,1499,1,558,513.36,256.608,USD,1.00000
139005,0,2016-05-18,2016-05-22,953288,999999,1147,1,1048,1048,481.936,GBP,0.68698
139005,1,2016-05-18,2016-05-22,953288,999999,1775,2,30.1,26.488,15.344,GBP,0.68698
139005,2,2016-05-18,2016-05-22,953288,999999,2118,3,333.75,290.3625,153.48,GBP,0.68698
139005,3,2016-05-18,2016-05-22,953288,999999,1631,3,7.596,7.596,3.492,GBP,0.68698
139005,4,2016-05-18,2016-05-22,953288,999999,1598,1,34.728,34.728,15.972,GBP,0.68698
139005,5,2016-05-18,2016-05-22,953288,999999,223,1,463.2,407.616,213.008,GBP,0.68698
139006,0,2016-05-18,2016-05-18,1854427,530,1184,2,1424,1424,654.848,USD,1.00000
139006,1,2016-05-18,2016-05-18,1854427,530,1588,6,8.334,7.41726,3.834,USD,1.00000
139006,2,2016-05-18,2016-05-18,1854427,530,2498,5,42.696,42.696,21.762,USD,1.00000
139007,0,2016-05-18,2016-05-18,1523720,585,2048,3,71.2425,66.255525,36.3225,USD,1.00000
139008,0,2016-05-18,2016-05-18,1062514,420,1475,1,414,360.18,190.386,GBP,0.68698
139008,1,2016-05-18,2016-05-18,1062514,420,1808,6,22.4,22.4,11.417,GBP,0.68698
139009,0,2016-05-18,2016-05-18,1626031,440,2120,1,111.75,111.75,56.97,USD,1.00000
140000,0,2016-05-19,2016-05-19,1145987,420,1581,1,131.4,131.4,43.536,GBP,0.68398
140000,1,2016-05-19,2016-05-19,1145987,420,2364,3,322.4925,293.468175,148.305,GBP,0.68398
140000,2,2016-05-19,2016-05-19,1145987,420,1621,2,7.794,6.70284,3.972,GBP,0.68398
140000,3,2016-05-19,2016-05-19,1145987,420,1037,3,301.6,283.504,138.688,GBP,0.68398
140000,4,2016-05-19,2016-05-19,1145987,420,104,1,86.25,81.075,39.66,GBP,0.68398
140001,0,2016-05-19,2016-05-19,1797935,530,1613,8,65.994,58.73466,33.648,USD,1.00000
140002,0,2016-05-19,2016-05-19,420797,220,852,2,577.25,577.25,191.25,EUR,0.89310
140003,0,2016-05-19,2016-05-19,303329,72,1510,7,232.2,206.658,118.386,CAD,1.31098
140003,1,2016-05-19,2016-05-19,303329,72,1597,10,34.728,34.38072,15.972,CAD,1.31098
140004,0,2016-05-19,2016-05-19,986540,360,103,2,86.25,86.25,39.66,GBP,0.68398
140005,0,2016-05-19,2016-05-24,709781,999999,7,3,16.1775,14.8833,8.25,EUR,0.89310
140005,1,2016-05-19,2016-05-24,709781,999999,1230,5,2448,2448,811.072,EUR,0.89310
140005,2,2016-05-19,2016-05-24,709781,999999,1010,3,299.04,260.1648,137.52,EUR,0.89310
140005,3,2016-05-19,2016-05-24,709781,999999,418,2,674.875,600.63875,344.075,EUR,0.89310
140005,4,2016-05-19,2016-05-24,709781,999999,1326,2,77.382,67.32234,25.632,EUR,0.89310
140005,5,2016-05-19,2016-05-24,709781,999999,1283,4,39.984,34.38624,20.384,EUR,0.89310
140006,0,2016-05-19,2016-05-19,908746,420,424,1,674.875,674.875,344.075,GBP,0.68398
140006,1,2016-05-19,2016-05-19,908746,420,1605,3,173.994,172.25406,57.648,GBP,0.68398
140007,0,2016-05-19,2016-05-19,1003750,360,1590,1,13.734,13.734,4.548,GBP,0.68398
140008,0,2016-05-19,2016-05-19,1232222,470,1512,6,430.2,425.898,197.838,USD,1.00000
140009,0,2016-05-19,2016-05-19,847319,330,1612,4,107.994,96.11466,49.662,EUR,0.89310
140009,1,2016-05-19,2016-05-19,847319,330,1611,2,95.994,95.994,44.142,EUR,0.89310
140010,0,2016-05-19,2016-05-26,1512794,999999,1805,1,22.4,20.608,11.417,USD,1.00000
141000,0,2016-05-20,2016-05-20,307209,80,457,6,549.875,478.39125,280.35,CAD,1.31063
141000,1,2016-05-20,2016-05-20,307209,80,1590,1,13.734,13.734,4.548,CAD,1.31063
141000,2,2016-05-20,2016-05-20,307209,80,1773,1,30.1,26.187,15.344,CAD,1.31063
141000,3,2016-05-20,2016-05-20,307209,80,1585,2,13.734,12.22326,4.548,CAD,1.31063
141000,4,2016-05-20,2016-05-20,307209,80,180,4,55.2,48.024,28.144,CAD,1.31063
141001,0,2016-05-20,2016-05-20,1198070,380,1199,6,656,564.16,334.448,GBP,0.68641
141002,0,2016-05-20,2016-05-20,808565,320,1691,2,3.773,3.43343,1.925,EUR,0.89135
141002,1,2016-05-20,2016-05-20,808565,320,2102,8,593.25,575.4525,272.8125,EUR,0.89135
141003,0,2016-05-20,2016-06-02,73407,999999,171,1,79.2,72.072,36.424,AUD,1.38328
141003,1,2016-05-20,2016-06-02,73407,999999,2092,2,593.25,593.25,272.8125,AUD,1.38328
141003,2,2016-05-20,2016-06-02,73407,999999,2101,2,658.125,598.89375,302.6475,AUD,1.38328
141004,0,2016-05-20,2016-06-02,1816896,999999,1589,2,5.994,5.6943,3.054,USD,1.00000
141004,1,2016-05-20,2016-06-02,1816896,999999,1633,4,8.334,7.66728,3.834,USD,1.00000
141004,2,2016-05-20,2016-06-02,1816896,999999,2106,2,658.125,658.125,302.6475,USD,1.00000
141004,3,2016-05-20,2016-06-02,1816896,999999,954,6,299.04,299.04,137.52,USD,1.00000
141004,4,2016-05-20,2016-06-02,1816896,999999,1255,3,31.984,30.3848,16.304,USD,1.00000
141005,0,2016-05-20,2016-05-20,1653360,605,1622,7,131.4,131.4,43.536,USD,1.00000
